project,technologies
conductor,"['configparser', 'dependabot', 'docker', 'docker compose', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'log4j', 'mkdocs', 'nginx', 'npm', 'prettier', 'redis', 'spring', 'tsconfig', 'yaml']"
HumanSignal_label-studio,"['babel', 'codecov', 'configparser', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'heroku', 'json', 'lerna', 'netlify', 'npm', 'poetry', 'pre-commit', 'prometheus', 'stylelint', 'toml', 'travis', 'tsconfig', 'yaml']"
vueuse,"['github', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'netlify', 'npm', 'pnpm', 'tsconfig', 'vscode']"
gorm,"['dependabot', 'github', 'github funding', 'github-action', 'golangci-lint', 'json']"
ungoogled-chromium,"['cirrus', 'configparser', 'github issues', 'github-action']"
jgthms_bulma,"['bower', 'github', 'github funding', 'github-action', 'npm', 'travis']"
rails,"['devcontainer', 'docker', 'github', 'github issues', 'github-action', 'npm', 'rubocop', 'yaml']"
czkawka,"['cargo', 'clippy', 'docker', 'github funding', 'github-action', 'rustfmt', 'toml', 'yaml']"
celery,"['dependabot', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'helm', 'json', 'kubernetes', 'poetry', 'pre-commit', 'readthedocs', 'redis', 'tox']"
LibreChat,"['devcontainer', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'helm', 'json', 'kubernetes', 'nginx', 'npm', 'tsconfig', 'vscode', 'yaml']"
sanic,"['appveyor', 'codecov', 'crowdin', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'poetry', 'readthedocs', 'tox', 'yaml']"
hey,"['github-action', 'json', 'npm', 'pnpm', 'toml', 'tsconfig', 'vscode']"
DeepSpeed,"['docker', 'github-action', 'json', 'pre-commit', 'readthedocs', 'yaml']"
gin-vue-admin,"['docker', 'docker compose', 'github funding', 'github issues', 'github-action', 'json', 'kubernetes', 'nginx', 'npm', 'swagger', 'yaml']"
explosion_spaCy,"['docker', 'eslint', 'github funding', 'github issues', 'github-action', 'json', 'netlify', 'npm', 'poetry', 'pre-commit', 'tsconfig', 'vscode', 'yaml']"
axum,"['cargo', 'clippy', 'github issues', 'github-action', 'toml', 'yaml']"
Sunshine,"['codecov', 'crowdin', 'dependabot', 'github', 'github issues', 'github-action', 'jekyll', 'json', 'npm', 'prettier', 'readthedocs', 'yaml']"
MinerU,"['docker', 'docker-compose', 'github issues', 'github-action', 'jekyll', 'json', 'poetry', 'yaml']"
axios,"['bower', 'dependabot', 'github', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'tsconfig']"
docker-elk,"['dependabot', 'docker', 'docker-compose', 'elasticsearch', 'github issues', 'github-action', 'json', 'logstash', 'yaml']"
tauri,"['android', 'cargo', 'devcontainer', 'docker', 'fuel', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'npm', 'pnpm', 'renovate', 'rustfmt', 'toml', 'tsconfig', 'vscode', 'wrangler', 'yaml']"
wagtail,"['babel', 'circleci', 'codecov', 'django', 'docker', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'ruff', 'tox', 'tsconfig', 'yaml']"
shadPS4,"['cmake', 'crowdin', 'github funding', 'github issues', 'github-action', 'json', 'reuse']"
1Panel,"['configparser', 'github issues', 'github-action', 'goreleaser', 'jekyll', 'json', 'npm', 'swagger', 'tsconfig', 'vscode', 'yaml']"
FiraCode,"['docker', 'github funding', 'github-action', 'npm']"
google-research_google-research,"['android', 'cargo', 'chart testing', 'circleci', 'configparser', 'django', 'docker', 'gradle', 'gradle-wrapper', 'json', 'npm', 'poetry', 'toml', 'trunk', 'tsconfig', 'yaml']"
wasmer,"['cargo', 'docker', 'github', 'github-action', 'toml']"
tdesktop,"['dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'json', 'poetry', 'snapscraft']"
tensorflow,"['android', 'configparser', 'dependabot', 'docker', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll', 'json', 'yaml']"
gradio,"['changesets', 'devcontainer', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'poetry', 'prettier', 'renovate', 'toml', 'tsconfig', 'vercel', 'vscode', 'yaml']"
antlr4,"['cmake', 'docker', 'eslint', 'flutter', 'github-action', 'json', 'maven', 'npm', 'poetry', 'tsconfig', 'yaml']"
vnpy,"['github-action', 'poetry']"
phoenix,"['babel', 'dependabot', 'github issues', 'github-action', 'npm', 'tsconfig']"
stats,"['github funding', 'github-action', 'json', 'swiftlint']"
vant,"['ansible-playbook', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig', 'yaml']"
actual,"['babel', 'devcontainer', 'docker', 'docker-compose', 'fuel', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'prettier', 'tsconfig', 'yarn']"
ImHex,"['cmake', 'codecov', 'docker', 'github funding', 'github issues', 'github-action', 'json', 'vcpkg', 'yaml']"
netbox,"['configparser', 'django', 'github issues', 'github-action', 'json', 'mkdocs', 'nginx', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'ruff', 'tsconfig', 'yaml']"
mifi_lossless-cut,"['github funding', 'github issues', 'github-action', 'jekyll', 'json', 'npm', 'tsconfig', 'vscode', 'yarn']"
pnpm,"['changesets', 'cspell', 'dependabot', 'github config', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'renovate', 'tsconfig', 'yaml']"
yolov5,"['dependabot', 'docker', 'github issues', 'github-action', 'json', 'poetry', 'yaml']"
Docker-OSX,"['docker', 'docker-compose', 'github funding', 'github-action', 'helm', 'kubernetes', 'yaml']"
NervJS_taro,"['babel', 'cargo', 'codecov', 'dependabot', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'rustfmt', 'tsconfig', 'vscode']"
act,"['codecov', 'dependabot', 'docker', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'markdownlint', 'prettier', 'vscode', 'yaml']"
AdminLTE,"['dependabot', 'eslint', 'github funding', 'github-action', 'gitpod', 'json', 'npm', 'stylelint', 'tsconfig', 'yaml']"
swagger-ui,"['dependabot', 'docker', 'github', 'github-action', 'json', 'npm', 'prettier', 'snapscraft']"
uikit,"['circleci', 'dependabot', 'github funding', 'json', 'npm', 'pnpm', 'prettier']"
jan,"['cargo', 'dependabot', 'devcontainer', 'github', 'github issues', 'github-action', 'json', 'npm', 'toml', 'tsconfig', 'vscode', 'yarn']"
jquery_jquery,"['dependabot', 'github-action', 'npm', 'yaml']"
openpilot,"['codecov', 'django', 'github', 'github issues', 'github-action', 'json', 'mkdocs', 'poetry', 'vscode']"
harness,"['docker', 'eslint', 'github-action', 'golangci-lint', 'helm', 'json', 'kubernetes', 'npm', 'prettier', 'swagger', 'tsconfig', 'vscode', 'yaml']"
OpenAPITools_openapi-generator,"['android', 'angular', 'appveyor', 'cargo', 'chart testing', 'circleci', 'configparser', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'eslint', 'flutter', 'github', 'github funding', 'github-action', 'gitpod', 'gradle', 'gradle-wrapper', 'json', 'maven', 'maven-wrapper', 'npm', 'poetry', 'rubocop', 'spring', 'swagger', 'toml', 'tox', 'travis', 'tsconfig', 'yaml']"
kafka,"['configparser', 'docker', 'docker-compose', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'kafka', 'maven', 'yaml']"
rocksdb,"['configparser', 'docker', 'github-action', 'json', 'maven', 'yaml']"
jsdom,"['github issues', 'github-action', 'npm']"
cli,"['codecov', 'dependabot', 'github-action', 'golangci-lint', 'mkdocs']"
element-plus,"['circleci', 'codecov', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'markdownlint', 'npm', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
sqlitebrowser,"['configparser', 'dependabot', 'github funding', 'github issues', 'github-action', 'json', 'snapscraft']"
windows95,"['docker', 'github-action', 'npm', 'tsconfig']"
neovim,"['cirrus', 'cmake', 'dependabot', 'github funding', 'github issues', 'github-action', 'json', 'stylua', 'toml', 'yaml']"
rancher,"['docker', 'github', 'github-action', 'golangci-lint', 'helm', 'json', 'kubernetes', 'renovate', 'yaml']"
angular-cli,"['apify', 'dependabot', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'renovate', 'tsconfig', 'yaml']"
honojs_hono,"['codecov', 'deno', 'devcontainer', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'npm', 'toml', 'tsconfig', 'vscode', 'yaml']"
webtorrent,"['github', 'github config', 'github-action', 'npm', 'yaml']"
apache_airflow,"['codecov', 'configparser', 'dependabot', 'devcontainer', 'django', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'gitpod', 'helm', 'json', 'kubernetes', 'markdownlint', 'npm', 'pnpm', 'poetry', 'pre-commit', 'readthedocs', 'toml', 'tsconfig', 'yaml']"
prometheus,"['buf', 'circleci', 'dependabot', 'docker', 'eslint', 'github issues', 'github-action', 'gitpod', 'golangci-lint', 'json', 'npm', 'prometheus', 'tsconfig', 'yaml']"
telescope.nvim,"['github funding', 'github issues', 'github-action', 'stylua']"
freqtrade,"['dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'json', 'mkdocs', 'poetry', 'pre-commit', 'readthedocs', 'vscode']"
config,"['json', 'npm']"
Rectangle,"['github', 'github-action', 'json']"
slint,"['cargo', 'clippy', 'cross', 'cspell', 'dependabot', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'poetry', 'reuse', 'rust', 'rustfmt', 'taplo', 'toml', 'tsconfig', 'vscode', 'yaml', 'yarn']"
draggable,"['changesets', 'dependabot', 'github', 'github-action', 'json', 'npm', 'tsconfig', 'vscode']"
kong,"['cargo', 'dependabot', 'devcontainer', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'json', 'prometheus', 'yaml']"
saleor,"['dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'json', 'npm', 'poetry', 'pre-commit', 'vscode', 'yaml']"
coc.nvim,"['codecov', 'github funding', 'github-action', 'json', 'npm', 'tsconfig']"
pydantic,"['configparser', 'dependabot', 'django', 'github', 'github funding', 'github issues', 'github-action', 'markdownlint', 'mkdocs', 'poetry', 'pre-commit', 'yaml']"
mjml,"['github-action', 'json', 'lerna', 'npm']"
bruno,"['dependabot', 'github issues', 'github-action', 'json', 'npm', 'prettier', 'tsconfig']"
mkdocs-material,"['dependabot', 'devcontainer', 'docker', 'github funding', 'github issues', 'github-action', 'json', 'mkdocs', 'npm', 'poetry', 'tsconfig', 'vscode', 'yaml']"
zig,"['github funding', 'github issues', 'github-action', 'json']"
dashy,"['ansible-playbook', 'dependabot', 'devcontainer', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'netlify', 'nginx', 'npm', 'tsconfig', 'vscode', 'yaml', 'yarn']"
outline,"['crowdin', 'dependabot', 'docker', 'docker-compose', 'github', 'github config', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'tsconfig', 'vscode']"
gitleaks,"['docker', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'pre-commit', 'toml']"
Jobs_Applier_AI_Agent_AIHawk,"['github funding', 'github issues', 'github-action', 'yaml']"
gson,"['dependabot', 'github issues', 'github-action', 'maven']"
calculator,"['github-action', 'json', 'yaml']"
mlc-llm,"['android', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll', 'json', 'poetry', 'pre-commit', 'yaml']"
moby_moby,"['appveyor', 'azure pipelines', 'cirrus', 'codecov', 'deepsource', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'markdownlint', 'netlify', 'renovate', 'swagger', 'toml', 'travis', 'yaml']"
docusaurus,"['cspell', 'dependabot', 'devcontainer', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'lerna', 'netlify', 'npm', 'tsconfig', 'vscode', 'yaml']"
void,"['cargo', 'devcontainer', 'docker', 'github issues', 'github-action', 'json', 'npm', 'rustfmt', 'snapscraft', 'tsconfig', 'vscode', 'yaml']"
streamlit,"['dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'mypy', 'npm', 'pre-commit', 'ruff', 'streamlit', 'tsconfig', 'vscode', 'yarn']"
filebrowser,"['docker', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'mkdocs', 'npm', 'pnpm', 'prettier', 'tsconfig', 'yaml']"
CymChad_BaseRecyclerViewAdapterHelper,"['android', 'circleci', 'gradle', 'gradle-wrapper', 'travis']"
ice,"['ansible-playbook', 'changesets', 'codecov', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig']"
brew,"['codecov', 'configparser', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'json', 'rubocop', 'vscode', 'yaml']"
webpack,"['codecov', 'cspell', 'dependabot', 'github funding', 'github-action', 'json', 'npm', 'tsconfig', 'yaml']"
AnotherRedisDesktopManager,"['babel', 'eslint', 'github funding', 'github-action', 'npm']"
slidev,"['github', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'netlify', 'npm', 'pnpm', 'tsconfig', 'vercel', 'vscode']"
tiptap,"['changesets', 'dependabot', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig', 'turborepo', 'vscode', 'yaml']"
Leaflet,"['bundlemon', 'dependabot', 'github funding', 'github issues', 'github-action', 'npm']"
apollographql_apollo-client,"['apify', 'changesets', 'circleci', 'dependabot', 'github issues', 'github-action', 'json', 'npm', 'renovate', 'tsconfig', 'tsdoc', 'vscode', 'yaml']"
ArchiveBox,"['configparser', 'dependabot', 'django', 'docker', 'docker-compose', 'flyio', 'github funding', 'github issues', 'github-action', 'jekyll', 'mypy', 'nginx', 'npm', 'poetry', 'readthedocs']"
cursor-free-vip,"['github issues', 'github-action', 'json']"
parcel,"['babel', 'cargo', 'dependabot', 'devcontainer', 'eslint', 'github funding', 'github issues', 'github-action', 'json', 'lerna', 'mocha', 'npm', 'rustfmt', 'tsconfig', 'vercel', 'vscode', 'yaml', 'yarn']"
mermaid,"['changesets', 'codecov', 'cspell', 'docker', 'docker-compose', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'lychee', 'netlify', 'npm', 'pnpm', 'prettier', 'renovate', 'tsconfig', 'vscode', 'yaml']"
osquery,"['github funding', 'github-action', 'json', 'mkdocs', 'readthedocs']"
json-server,"['github funding', 'github-action', 'json', 'npm', 'tsconfig']"
teambit_bit,"['babel', 'circleci', 'docker', 'json', 'npm', 'tsconfig']"
disruptor,"['github-action', 'gradle-wrapper', 'yaml']"
postiz-app,"['devcontainer', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'nodemon', 'npm', 'pnpm', 'toml', 'tsconfig', 'yaml']"
iced,"['cargo', 'clippy', 'cross', 'github funding', 'github issues', 'github-action', 'rustfmt']"
crewAI,"['github issues', 'github-action', 'json', 'poetry', 'pre-commit', 'ruff', 'yaml']"
chatwoot_chatwoot,"['circleci', 'crowdin', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github funding', 'github issues', 'github-action', 'jekyll', 'json', 'npm', 'pnpm', 'rubocop', 'spring', 'swagger', 'toml', 'vscode', 'yaml']"
react-navigation,"['github funding', 'github issues', 'github-action', 'json', 'lefthook', 'lerna', 'netlify', 'npm', 'tsconfig', 'yaml', 'yarn']"
n8n-io_n8n,"['bundlemon', 'codecov', 'devcontainer', 'docker', 'docker-compose', 'eslint', 'github', 'github issues', 'github-action', 'json', 'lefthook', 'nginx', 'nodemon', 'npm', 'pnpm', 'poetry', 'renovate', 'tsconfig', 'turborepo', 'vscode', 'yaml']"
fingerprintjs,"['github-action', 'json', 'npm', 'tsconfig']"
scrapy,"['codecov', 'django', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
canal,"['codecov', 'configparser', 'docker', 'hadoop-hbase', 'helm', 'json', 'kubernetes', 'maven', 'maven-wrapper', 'npm', 'spring', 'travis', 'yaml']"
frigate,"['cspell', 'dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'json', 'mypy', 'netlify', 'nginx', 'npm', 'poetry', 'tsconfig', 'vscode', 'yaml']"
go-micro,"['ansible-playbook', 'golangci-lint', 'jekyll', 'yaml']"
NaiboWang_EasySpider,"['github funding', 'json', 'npm', 'tsconfig']"
transformers,"['circleci', 'docker', 'github issues', 'github-action', 'json', 'lerna', 'poetry', 'yaml']"
graal,"['configparser', 'devcontainer', 'docker', 'github issues', 'github-action', 'jekyll', 'json', 'maven', 'poetry', 'toml']"
portainer,"['docker', 'docker-compose', 'eslint', 'fuel', 'github issues', 'golangci-lint', 'json', 'npm', 'toml', 'tsconfig', 'yaml']"
linera-protocol,"['cargo', 'clippy', 'docker', 'docker-compose', 'github-action', 'helm', 'json', 'kubernetes', 'npm', 'pnpm', 'prometheus', 'rust', 'rustfmt', 'taplo', 'toml', 'tsconfig', 'yaml']"
shap,"['codecov', 'dependabot', 'github', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'readthedocs']"
actix-web,"['cargo', 'clippy', 'codecov', 'cspell', 'dependabot', 'github funding', 'github issues', 'github-action', 'prettier', 'rustfmt', 'taplo']"
mrdoob_three.js,"['eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'renovate']"
flow,"['github-action', 'json', 'npm', 'tsconfig']"
OpenManus,"['dependabot', 'docker', 'github issues', 'github-action', 'json', 'npm', 'pre-commit', 'toml', 'tsconfig', 'vscode']"
spring-projects_spring-boot,"['configparser', 'dependabot', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'maven', 'npm', 'spring', 'yaml']"
LocalAI,"['chart testing', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'prometheus', 'renovate', 'swagger', 'vscode', 'yaml']"
PowerShell_PowerShell,"['codecov', 'dependabot', 'devcontainer', 'docker', 'fuel', 'github', 'github issues', 'github-action', 'json', 'markdownlint', 'vscode', 'yaml']"
heroui-inc_heroui,"['changesets', 'eslint', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'prettier', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yaml']"
video.js,"['github', 'github config', 'github issues', 'github-action', 'json', 'npm', 'tsconfig']"
Perplexica,"['configparser', 'docker compose', 'eslint', 'github-action', 'json', 'npm', 'toml', 'tsconfig', 'yaml']"
keras,"['codecov', 'dependabot', 'devcontainer', 'github-action', 'json', 'poetry', 'pre-commit']"
mimikatz,['appveyor']
yazi,"['cargo', 'cspell', 'github issues', 'github-action', 'npm', 'rustfmt', 'snapscraft', 'stylua', 'toml', 'yaml']"
etherpad-lite,"['dependabot', 'docker', 'docker-compose', 'github funding', 'github-action', 'json', 'npm', 'pnpm', 'travis', 'tsconfig', 'yaml']"
Karabiner-Elements,"['github', 'github funding', 'github-action', 'json', 'markdownlint', 'npm', 'prettier', 'swiftlint', 'vscode', 'yaml']"
Bend,"['cargo', 'cspell', 'github issues', 'github-action', 'rustfmt']"
Aerial,"['codeclimate', 'json', 'swiftlint', 'travis']"
colima,"['dependabot', 'docker', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'json', 'toml', 'yaml']"
llvm_llvm-project,"['appveyor', 'chart testing', 'codecov', 'configparser', 'docker', 'docker-compose', 'github', 'github-action', 'jekyll', 'json', 'npm', 'poetry', 'pre-commit', 'prettier', 'renovate', 'travis', 'tsconfig', 'vscode', 'yaml']"
reduxjs_redux,"['gitbook', 'github funding', 'github issues', 'github-action', 'json', 'netlify', 'npm', 'prettier', 'tsconfig', 'yarn']"
sst,"['cargo', 'devcontainer', 'docker', 'github-action', 'goreleaser', 'json', 'npm', 'poetry', 'toml', 'tsconfig', 'vscode']"
pyscript,"['dependabot', 'github', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'tsconfig']"
rustdesk,"['android', 'appveyor', 'cargo', 'dependabot', 'docker', 'flutter', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'rustfmt', 'travis', 'vcpkg', 'vscode', 'yaml']"
fastify,"['ansible-playbook', 'dependabot', 'eslint', 'github', 'github-action', 'gitpod', 'json', 'npm', 'yaml']"
maybe,"['dependabot', 'devcontainer', 'docker', 'docker-compose', 'github-action', 'json', 'npm', 'rubocop', 'yaml']"
flutter_flutter,"['android', 'dependabot', 'firebase', 'flutter', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'vscode', 'yaml']"
jeecgboot_JeecgBoot,"['configparser', 'docker', 'docker-compose', 'gitpod', 'json', 'maven', 'npm', 'pnpm', 'spring', 'tsconfig', 'yaml']"
LLaMA-Factory,"['docker', 'docker-compose', 'github issues', 'github-action', 'json', 'poetry', 'pre-commit']"
minimind,['json']
lexical,"['github-action', 'json', 'npm', 'tsconfig', 'vscode', 'yaml']"
lerna,"['github issues', 'github-action', 'json', 'lerna', 'npm', 'pnpm', 'prettier', 'tsconfig', 'yaml']"
minio,"['docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'helm', 'jekyll', 'json', 'kubernetes', 'nginx', 'typos', 'yaml']"
LLMs-from-scratch,"['devcontainer', 'docker', 'github issues', 'github-action', 'json', 'poetry', 'toml', 'vscode', 'yaml']"
incubator-seata,"['codecov', 'configparser', 'docker', 'docker compose', 'eslint', 'github issues', 'github-action', 'helm', 'json', 'kubernetes', 'log4j', 'maven', 'maven-wrapper', 'npm', 'spring', 'travis', 'tsconfig', 'yaml']"
blueprint,"['circleci', 'dependabot', 'json', 'lerna', 'npm', 'prettier', 'tsconfig', 'vscode', 'yaml', 'yarn']"
vapor,"['dependabot', 'github-action', 'yaml']"
magic-wormhole,"['appveyor', 'github-action', 'poetry', 'readthedocs', 'snapscraft', 'tox']"
components,"['angular', 'firebase', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'renovate', 'stylelint', 'tsconfig', 'vscode', 'yaml', 'yarn']"
ish,"['ansible-playbook', 'github funding', 'github-action', 'json']"
ollama_ollama,"['cmake', 'docker', 'github issues', 'github-action', 'golangci-lint', 'json', 'npm', 'tsconfig']"
milvus,"['ansible', 'cargo', 'codecov', 'configparser', 'devcontainer', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'golangci-lint', 'json', 'mockery', 'pre-commit', 'toml', 'travis', 'vcpkg', 'yaml']"
lo,"['dependabot', 'docker', 'docker-compose', 'github funding', 'github-action', 'yaml']"
grafana_loki,"['appveyor', 'azure pipelines', 'buf', 'chart testing', 'cirrus', 'codeclimate', 'codecov', 'configparser', 'deepsource', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'drone', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'helm', 'jekyll', 'json', 'kafka', 'kubernetes', 'lychee', 'markdownlint', 'mkdocs', 'netlify', 'nginx', 'pre-commit', 'prettier', 'prometheus', 'renovate', 'rubocop', 'swagger', 'toml', 'travis', 'yaml']"
novuhq_novu,"['babel', 'cspell', 'deepsource', 'devcontainer', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'json', 'lerna', 'mocha', 'netlify', 'nodemon', 'npm', 'pnpm', 'renovate', 'tsconfig', 'verdaccio', 'vscode', 'yaml']"
nnn,"['circleci', 'github funding', 'github issues', 'github-action', 'yaml']"
dbeaver_dbeaver,"['configparser', 'github issues', 'github-action', 'maven', 'snapscraft']"
Ventoy,"['docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'json']"
laravel-debugbar,"['github', 'github funding', 'github-action', 'json']"
source-code-hunter,"['github-action', 'npm', 'vercel']"
UTM,"['github funding', 'github-action', 'json']"
phpunit,"['github funding', 'github-action', 'json']"
Rocket,"['cargo', 'github funding', 'github issues', 'github-action', 'rustfmt']"
zustand,"['github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig', 'yaml']"
autogen,"['codecov', 'devcontainer', 'docker', 'docker-compose', 'github issues', 'github-action', 'json', 'npm', 'poetry', 'toml', 'tsconfig', 'yaml']"
postgrest,"['cirrus', 'codecov', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'readthedocs', 'renovate', 'yaml']"
llama.cpp,"['cmake', 'github', 'github issues', 'github-action', 'json', 'mypy', 'npm', 'poetry', 'pre-commit', 'prometheus', 'tsconfig']"
bagisto,"['docker-compose', 'github funding', 'github issues', 'github-action', 'json', 'npm']"
query,"['angular', 'codecov', 'github', 'github funding', 'github issues', 'github-action', 'json', 'knip', 'lerna', 'npm', 'pnpm', 'renovate', 'tsconfig', 'vscode', 'yaml']"
luigi,"['codecov', 'github', 'github-action', 'poetry', 'readthedocs', 'tox', 'yaml']"
graphrag,"['cspell', 'dependabot', 'django', 'docker', 'github issues', 'github-action', 'json', 'mkdocs', 'poetry', 'vscode', 'yaml']"
setup,['github-action']
create-t3-app,"['changesets', 'eslint', 'github', 'github issues', 'github-action', 'gitpod', 'json', 'npm', 'pnpm', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yarn']"
react-hook-form,"['apify', 'github', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig', 'vscode']"
microsoft_TypeScript,"['codecov', 'dependabot', 'devcontainer', 'github issues', 'github-action', 'json', 'npm', 'tsconfig', 'vscode', 'yaml']"
monaco-editor,"['ansible-playbook', 'devcontainer', 'github issues', 'github-action', 'json', 'mocha', 'npm', 'prettier', 'tsconfig', 'vscode', 'yaml']"
everyone-can-use-english,"['dependabot', 'eslint', 'github-action', 'json', 'npm', 'tsconfig', 'wrangler', 'yarn']"
fasthttp,"['dependabot', 'github-action', 'golangci-lint']"
calcom_cal.com,"['changesets', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'gitpod', 'jest', 'json', 'kodiak', 'npm', 'toml', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yaml', 'yarn']"
kubernetes_kubernetes,"['appveyor', 'azure pipelines', 'buf', 'cirrus', 'codeclimate', 'codecov', 'docker', 'github issues', 'golangci-lint', 'json', 'kubernetes', 'markdownlint', 'mockery', 'renovate', 'swagger', 'toml', 'travis', 'yaml']"
Stirling-PDF,"['configparser', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'pre-commit', 'spring', 'toml', 'vscode']"
serenity,"['configparser', 'dependabot', 'devcontainer', 'docker', 'github', 'github funding', 'github-action', 'json', 'pre-commit']"
unleashed-firmware,"['docker', 'drone', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig', 'vscode']"
gpt_academic,"['docker', 'docker-compose', 'github issues', 'github-action', 'json']"
fullPage.js,"['bower', 'json', 'npm', 'yaml']"
toml,"['pre-commit', 'toml']"
v86,"['cargo', 'devcontainer', 'docker', 'github-action', 'json', 'npm', 'rustfmt', 'vscode']"
vllm,"['chart testing', 'dependabot', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'json', 'mkdocs', 'poetry', 'pre-commit', 'readthedocs', 'typos', 'yaml']"
ionicons,"['github', 'github issues', 'github-action', 'json', 'npm', 'prettier', 'tsconfig', 'yaml']"
guidance,"['codecov', 'eslint', 'github-action', 'json', 'npm', 'poetry', 'readthedocs', 'ruff', 'tsconfig', 'yaml', 'yarn']"
